Iteration,Variance
0,25.0077
1,588.162
2,15054.1
3,409956
4,1.16807e+07
5,3.4411e+08
6,1.03949e+10
7,3.20131e+11
8,1.00099e+13
9,3.1684e+14
10,1.01298e+16
11,3.26581e+17
12,1.06036e+19
13,3.46377e+20
14,1.13744e+22
15,3.75234e+23
16,1.24291e+25
17,4.13183e+26
18,1.378e+28
19,4.60915e+29
20,1.54574e+31
21,5.19628e+32
22,1.75066e+34
23,5.90996e+35
24,1.99882e+37
25,6.77183e+38
26,2.2979e+40
27,7.80903e+41
28,2.65744e+43
29,9.05502e+44
30,3.08916e+46
31,1.05508e+48
32,3.60739e+49
33,1.23463e+51
34,4.22958e+52
35,1.45026e+54
36,4.97696e+55
37,1.70936e+57
38,5.87538e+58
39,2.02095e+60
40,6.95627e+61
41,2.39599e+63
42,8.25785e+64
43,2.84781e+66
44,9.82668e+67
45,3.39267e+69
46,1.17194e+71
47,4.05033e+72
48,1.40051e+74
49,4.84491e+75
50,1.67679e+77
